ਦੇ ਤੌਰ ਤੇ,as
|ਦਿਓ,|,enter
ਮੁੱਖ,major
ਤਾਜ਼ਾ,fresh
ਖੋਜ ਨੂੰ,search
ਭੇਜਣ,send
ਪੀਲੇ,yellow
ਬੰਦੂਕ,gun
ਦੀ ਇਜਾਜ਼ਤ,allow
ਪ੍ਰਿੰਟ,print
ਮਰੇ,dead
ਸਪਾਟ,spot
ਮਾਰੂਥਲ,desert
ਮੁਕੱਦਮੇ,suit
ਮੌਜੂਦਾ,current
ਲਿਫਟ,lift
ਉੱਠਿਆ,rose
ਪਹੁੰਚਦੇ,arrive
ਮਾਸਟਰ,master
ਟਰੈਕ,track
ਮਾਤਾ,parent
ਕੰਢੇ,shore
ਵੰਡ,division
ਸ਼ੀਟ,sheet
ਪਦਾਰਥ,substance
ਦੇ ਪੱਖ ’,favor
ਨਾਲ ਜੁੜਨ,connect
ਪੋਸਟ,post
ਖਰਚ,spend
ਕੋਰਿਜ਼,chord
ਚਰਬੀ,fat
ਖੁਸ਼,glad
ਅਸਲੀ,original
ਸ਼ੇਅਰ,share
ਸਟੇਸ਼ਨ,station
ਡੈਡੀ,dad
ਰੋਟੀ ਦਾ,bread
ਚਾਰਜ,charge
ਸਹੀ,proper
ਪੱਟੀ ਦੇ,bar
ਪੇਸ਼ਕਸ਼ ਨੂੰ,offer
ਸਿਗਮਿੰਟ,segment
ਨੌਕਰ ਨੂੰ,slave
ਬਤਖ਼,duck
ਤੁਰੰਤ,instant
ਮਾਰਕੀਟ ਨੂੰ,market
ਦੀ ਡਿਗਰੀ,degree
ਤਿਆਰ,populate
ਮਟਰੀ,chick
ਪਿਆਰੇ,dear
ਦੁਸ਼ਮਣ,enemy
ਜਵਾਬ,reply
ਪੀਣ ਨੂੰ,drink
ਆ,occur
ਸਹਿਯੋਗ ਨੂੰ,support
ਬੋਲਣ ਦੀ,speech
ਸੁਭਾਅ ਨੂੰ,nature
|ਸੀਮਾ ਹੈ,|,range
ਭਾਫ਼,steam
ਮੋਸ਼ਨ,motion
ਮਾਰਗ ’,path
ਤਰਲ,liquid
ਲਾਗਇਨ ਕਰਨਾ,log
ਦਾ ਮਤਲਬ ਸੀ,meant
ਸਮਰੱਥਾ,quotient
ਦੰਦ,teeth
ਸ਼ੈੱਲ,shell
ਗਰਦਨ,neck
ਆਕਸੀਜਨ,oxygen
ਖੰਡ,sugar
ਦੀ ਮੌਤ,death
ਪਰੈਟੀ,pretty
ਹੁਨਰ,skill
ਮਹਿਲਾ,women
ਸੀਜ਼ਨ,season
ਹੱਲ ਹੈ,solution
ਚੁੰਬਕ,magnet
ਸਿਲਵਰ,silver
ਧੰਨਵਾਦ,thank
ਸ਼ਾਖਾ,branch
ਮੈਚ,match
ਪਿਛੇਤਰ,suffix
ਖਾਸ ਕਰਕੇ,especially
ਅੰਜੀਰ,fig
ਡਰ,afraid
ਵੱਡੇ,huge
ਭੈਣ ਨੂੰ,sister
ਸਟੀਲ,steel
ਤੇ ਚਰਚਾ,discuss
ਅੱਗੇ,forward
ਇਸੇ,similar
ਦੀ ਅਗਵਾਈ,guide
ਦਾ ਤਜਰਬਾ,experience
ਸਕੋਰ,score
ਸੇਬ,apple
ਖਰੀਦੀ,bought
ਦੀ ਅਗਵਾਈ,led
ਪਿੱਚ,pitch
ਕੋਟ,coat
ਜਨਤਕ,mass
ਕਾਰਡ,card
ਪਹਿਰੇਦਾਰ,band
ਰੱਸੀ,rope
ਸਿਲੱਪ,slip
ਜਿੱਤ,win
ਸੁਪਨੇ,dream
ਸ਼ਾਮ ਨੂੰ,evening
ਹਾਲਤ,condition
||| ਜੂਨ|,feed
ਸੰਦ ਹੈ,tool
ਕੁੱਲ,total
ਬੁਨਿਆਦੀ,basic
ਗੰਧ,smell
ਘਾਟੀ,valley
ਅਤੇ ਨਾ ਹੀ,nor
ਡਬਲ,double
ਸੀਟ,seat
ਨੂੰ ਜਾਰੀ,continue
ਬਲਾਕ,block
ਚਾਰਟ,chart
ਟੋਪੀ,hat
ਵੇਚਣ,sell
ਦੀ ਸਫਲਤਾ,success
ਕੰਪਨੀ ਨੇ,company
ਘਟਾਓ,subtract
ਘਟਨਾ,event
ਖਾਸ,particular
ਸੌਦਾ,deal
ਤੈਰਾਕੀ,swim
ਦੀ ਮਿਆਦ,term
ਇਸ ਦੇ ਉਲਟ,opposite
ਪਤਨੀ ਨੂੰ,wife
ਜੁੱਤੀ,shoe
ਮੋਢੇ,shoulder
ਫੈਲਣ,spread
ਦਾ ਪ੍ਰਬੰਧ,arrange
ਡੇਰੇ,camp
ਕਾਢ,invent
ਕਪਾਹ,cotton
ਜਨਮ,born
ਪਤਾ ਕਰਨ,determine
ਕਵਾਟਰ,quart
ਨੌ,nine
ਟਰੱਕ,truck
ਰੌਲਾ,noise
ਦਾ ਪੱਧਰ,level
ਮੌਕਾ,chance
ਇਕੱਠਾ,gather
ਦੁਕਾਨ,shop
ਤਣਾਅ ਨੂੰ,stretch
ਸੁੱਟ,throw
ਚਾਨਣ,shine
ਸੰਪਤੀ ਨੂੰ,property
ਕਾਲਮ,column
ਅਣੂ,molecule
ਦੀ ਚੋਣ ਕਰੋ,select
ਗਲਤ ਹੈ,wrong
ਸਲੇਟੀ,gray
ਦੁਹਰਾਉ,repeat
ਦੀ ਲੋੜ ਹੈ,require
ਵਿਆਪਕ,broad
ਨੂੰ ਤਿਆਰ,prepare
ਲੂਣ,salt
ਨੱਕ,nose
ਬਹੁਵਚਨ,plural
ਗੁੱਸੇ ’,anger
ਦਾਅਵਾ,claim
ਮਹਾਦੀਪ,continent
